Practice Number,Practice Name,Dispensing,Physical Address,City or Town,Province,Telephone Number,Longitude,Latitude,Map
1551345,THABA NCHU MEDICAL SERVICES,Yes,"6 James Scott Street, Thaba Nchu",Thaba Nchu,Free State,051 8751041,26°50′41.358″E,29°12′57.172″S,View Map
1553356,LE ROUX,Yes,42 Robertson Avenue,Koffiefontein,Free State,053 7422164,22°57′41.724″E,27°12′10.008″S,View Map
1556568,LOMBAARD,Yes,"Ground Floor, 28 Oos Burger Street, Bloemfontein",Bloemfontein,Free State,051 4474503,26°13′24.276″E,29°7′5.88″S,View Map
1562215,ELS,No,"37 President Swart Street, Bultfontein",Bultfontein,Free State,051 8531121,26°9′14.321″E,28°16′53.633″S,View Map
1567918,KLEINGELD,Yes,"19 Van Riebeeck Street, Trompsburg",Trompsburg,Free State,051 7130045,25°46′46.065″E,30°2′3.921″S,View Map
1568035,DE WILDE,Yes,"Room 7 & 8 Reahola Shopping, Centre, Botshabelo",Botshabelo,Free State,051 5342029,26°42′29.049″E,29°13′57.583″S,View Map
1571818,HLALELE,Yes,"1501 Moshoeshoe Street, Rocklands",Mangaung,Free State,051 4352459,26°14′3.232″E,29°10′32.574″S,View Map
1573616,VAN HEERDEN,No,"19 Nienaber Street, Langenhovenpark",Bloemfontein,Free State, ,26°9′27.412″E,29°5′34.311″S,View Map
1575449,NKWALI,Yes,"92 Van Tonder Street, Sterkspruit",Sterkspruit,Free State,051 6110794,24°39′40.586″E,34°10′25.853″S,View Map
1579932,KRIEL E & THERON P H H,No,"2 Banting Street, Hospitaalpark",Bloemfontein,Free State,051 4476690,26°11′31.915″E,29°8′1.919″S,View Map
1582720,MULAUDZI,Yes,"265 Thelingoane Weg, Thabong",Welkom,Free State,057 3964989,26°47′3.75″E,27°58′17.029″S,View Map
30546,KELLER,Yes,"79 Waterkant Street, Ou Dorp",Odendaalsrus,Free State,057 3982677,26°41′6.684″E,27°52′31.152″S,View Map
110574,ZONDO,Yes,"735 Matlakeng Business Centre, Zastron",Zastron,Free State, ,27°6′0.005″E,30°17′49.002″S,View Map
147257,SPIES L P & VAN STRYP D J G,No,"47 Els Street, Heilbron",Heilbron,Free State,058 8521260,27°58′7.178″E,27°17′7.838″S,View Map
160652,PIENAAR,Yes,"39 Bredenkamp Street, Wesselsbron",Wesselsbron,Free State,057 8992716,26°21′52.11″E,27°51′16.27″S,View Map
165492,DE KLERK,Yes,"Naledi Healthcare Building, 345 Stateway, Doorn",Welkom,Free State,057 3574488,26°44′37.299″E,27°58′55.136″S,View Map
222968,MARITZ,No,"Medical Suite 6 1st Floor, Middestad Sentrum West Burger, Bloemfontein",Bloemfontein,Free State,051 4305100,26°13′17.138″E,29°6′59.231″S,View Map
234648,SIECKER & PARTNER INC,Yes,"29 De Leeuw Street, Bethlehem",Bethlehem,Free State,058 3036780,28°19′18.769″E,28°13′46.134″S,View Map
239151,KARIM,Yes,"59 Loop Street, Parys",Parys,Free State,056 8177720,27°27′26.617″E,26°54′13.574″S,View Map
242276,BEZUIDENHOUT,No,"35 Kerk Street, Reitz",Reitz,Free State,058 8631074,28°25′50.019″E,27°48′4.875″S,View Map
249068,HEYNEKE,Yes,"52 Bastion Street, Bloemfontein",Bloemfontein,Free State,051 4472552,26°13′24.277″E,29°7′19.611″S,View Map
256617,AMLA,Yes,"Shop 4 Maruptsane Complex, Mohale Street, Phuthaditjhaba",Phuthaditjhaba,Free State,058 7139064,28°49′57.555″E,28°31′19.667″S,View Map
283509,PISO & PARTNERS,No,28 Gardens,Virginia,Free State,057 3881771,26°46′30.864″E,27°58′14.304″S,View Map
287814,RAMANTSI,Yes,"Suite 220 Central Park Centre, Fichardt Street, Bloemfontein",Bloemfontein,Free State,051 4483198,26°13′28.495″E,29°6′59.414″S,View Map
325163,NEL,Yes,"43 Kuhn Street, Vrede",Vrede,Free State,058 9132611,29°9′50.4″E,27°25′42.803″S,View Map
367672,VAN WYK,Yes,"20a Southey Street, Harrismith",Harrismith,Free State,058 6221691,29°7′27.72″E,28°16′15.541″S,View Map
378534,MOKONOTELA,Yes,23 Joubert Street,Ladybrand,Free State,051 9240036,27°27′26.64″E,29°11′40.2″S,View Map
396125,HATTINGH,Yes,"Free State Medical Ctr 2nd Floor, 29 Poole Street Room 201, Bradwag",Bloemfontein,Free State,051 4440614,26°12′24.588″E,29°6′0.36″S,View Map
486493,KOTZE C B AND KOTZE Y,Yes,"37 De Leeuw Street, Bethlehem",Bethlehem,Free State,058 3031189,28°19′23.921″E,28°13′44.338″S,View Map
497339,MOTSOENENG,Yes,"House 383, Nyakallong",Allanridge,Free State,076 6512423,26°38′57.982″E,27°47′10.717″S,View Map
552496,LESIA,Yes,"Standard Bank Building, Cnr Joubert & Piet Retief Street, Ladybrand",Ladybrand,Free State,051 0114016,27°27′30.903″E,29°11′47.549″S,View Map
565954,VAHED,Yes,"79 Odendaal Street, Ou Dorp",Odendaalsrus,Free State,057 3542611,26°41′8.393″E,27°52′34.764″S,View Map
574686,JORDAAN,No,"Bestmed Medical Centre, 325 Stateway, Welkom",Welkom,Free State,083 7531955,26°44′23.542″E,27°58′50.159″S,View Map
604852,MAPHAKISA,Yes,"8277 Nkoane Road, Thabong",Welkom,Free State,057 3971009,26°47′21.407″E,27°57′54.226″S,View Map
624322,DRS JANSEN G AND ASSOCIATES,Yes,"Bvg University Of The Free, State 205 Nelson Mandela Drive, Bloemfontein",Bloemfontein,Free State,051 4012603,26°11′5.173″E,29°6′41.459″S,View Map
625922,COERTZE,Yes,"111 President Hoffman Street, Smithfield",Smithfield,Free State,051 6831108,26°31′58.639″E,30°12′48.961″S,View Map
641839,VERMAAK,No,"36 Craib Avenue, Riebeeckstad",Welkom,Free State,057 3881011,26°48′11.707″E,27°56′11.73″S,View Map
726567,NOORDMAN,Yes,"6 Kerk Street, Edenburg",Edenburg,Free State,051 7431004,25°56′6.363″E,29°44′8.557″S,View Map
742457,KROUTZ,No,"61 Durban Street, Aliwal North",Aliwal North,Free State,051 0040321,26°42′43.423″E,30°41′37.258″S,View Map
788600,OOSTHUIZEN,No,"Preezmed Sentrum, 2 Van Riebeeck Street, Senekal",Senekal,Free State,051 4921170,27°37′23.526″E,28°19′23.46″S,View Map
991236,LANGENHOVEN,No,"49a Kerk Street, Vrede",Vrede,Free State,058 0503070,29°9′46.375″E,27°25′37.397″S,View Map
1401181,SCHULZ,Yes,"8 Van Der Watt Street, Dewetsdorp",Dewetsdorp,Free State,051 5410487,26°39′51.827″E,29°34′55.35″S,View Map
1403583,SHAHIM,No,"20 Engelbrecht Street, Viljoenskroon",Viljoenskroon,Free State,056 3432001,26°56′39.807″E,27°12′34.322″S,View Map
1403729,LE GRANGE,No,"36 Union Street, Marquard",Marquard,Free State,051 9910182,27°25′46.856″E,28°39′52.887″S,View Map
1405454,ENSLIN,Yes,"14 Kerk Street, Reddersburg",Reddersburg,Free State,071 6137489,26°10′9.989″E,29°39′9.076″S,View Map
1410369,VAN RENSBURG,Yes,"44 Bredenkamp Street, Wesselsbron",Wesselsbron,Free State,057 8997899,26°21′54.36″E,27°51′17.64″S,View Map
1415700,MARX L C & ASSOCIATES,No,"Mimosa Mall Cnr Parfitt Avenue &, Kellner Street, Brandwag",Bloemfontein,Free State,051 4445820,26°12′6.626″E,29°6′34.521″S,View Map
1417851,"ESTERHUIZEN S W, KRITZINGER H R",Yes,"67 Cnr J J Hadebe & Nieuw Street, Frankfort",Frankfort,Free State,058 8131004,28°29′36.336″E,27°16′40.39″S,View Map
1419544,MOTLOUNG,Yes,"1124 De Villiers Street, Bohlokong",Bethlehem,Free State,073 8656144,28°19′5.124″E,28°12′48.852″S,View Map
1425358,OP'T HOF,No,"78b Nyala Street, Doorn",Welkom,Free State,057 3573211,26°45′19.332″E,27°59′9.564″S,View Map
1429124,OLIVIER,Yes,"5 De Smidt Street, Barkly East",Barkly East,Free State,045 9710285,27°35′30.693″E,30°58′6.558″S,View Map
1429558,DANGOR,Yes,"2 Exchange Lane, Virginia",Virginia,Free State,057 2124731,26°52′1.767″E,28°6′12.728″S,View Map
1430173,VILJOEN,No,"Room 5 Netcare Kroon Hospital, R76 Noord Road, Kroonstad",Kroonstad,Free State,056 2132226,27°13′49.47″E,27°39′12.004″S,View Map
1437275,MORRISON,Yes,"24 Brand Street, Winburg",Winburg,Free State,051 8810063,27°0′46.376″E,28°31′10.943″S,View Map
1440330,"DRS D M STANDER, F C TERBLANCHE",Yes,"Cnr Kerk & Rhyneveld Street, Colesberg",Colesberg,Free State,051 7530701,25°5′51.39″E,30°43′14.943″S,View Map
1445316,SWART,No,"23 Botha Street, Bothaville",Bothaville,Free State,056 5152034,26°37′2.47″E,27°23′32.311″S,View Map
1447130,MEYER,No,"Lee Marco Centre, 48 Heatherdale Road, Heidedal",Bloemfontein,Free State,051 4324302,26°15′7.74″E,29°8′35.808″S,View Map
1447807,GRONUM,No,"5 Alleen Street, Frankfort",Frankfort,Free State,058 8132777,28°29′59.49″E,27°16′20.264″S,View Map
1450263,VAN WYK,Yes,"8 D J P Scholtz Street, Ventersburg",Ventersburg,Free State,057 6514055,27°8′34.886″E,28°4′54.726″S,View Map
1453106,FERREIRA,Yes,"17 Church Street, Wepener",Wepener,Free State,051 5831355,27°2′18.492″E,29°43′37.848″S,View Map
1460617,VAN JAARSVELD,Yes,"15 Brand Street, Lindley",Lindley,Free State,058 4630121,27°55′26.876″E,27°52′25.968″S,View Map
1460625,BRITS,Yes,"7 De Leeuw Street, Bethlehem",Bethlehem,Free State,058 3031161,28°19′12.03″E,28°13′55.336″S,View Map
1461524,GARMANY,Yes,"40 Du Preez Street, Fouriesburg",Fouriesburg,Free State,058 2230755,28°12′20.88″E,28°37′13.102″S,View Map
1462725,GILLILAND,Yes,"Cnr Zuider & Lange Street, Senekal",Senekal,Free State,058 4812174,27°37′16.248″E,28°19′24.632″S,View Map
1467093,FOUCHE,No,"11 Ella Street, Willows",Bloemfontein,Free State,051 4441565,26°12′28.152″E,29°7′21.504″S,View Map
